service_id,date,exception_type
R20140615SUN,20141127,1
R20140615WKD,20140704,2
R20140615WKD,20140901,2
R20140615WKD,20141127,2
montague_sat,20140920,1
montague_sat,20140927,1
montague_sat,20141004,1
montague_sat,20141011,1
montague_sat,20141018,1
montague_sat,20141025,1
montague_sat,20141101,1
montague_sat,20141108,1
montague_sat,20141115,1
montague_sat,20141122,1
montague_sat,20141129,1
montague_sat,20141206,1
montague_sat,20141213,1
montague_sat,20141220,1
montague_sat,20141227,1
montague_sat,20150103,1
montague_sat,20150110,1
montague_sat,20150117,1
montague_sat,20150124,1
montague_sat,20150131,1
montague_sat,20150207,1
montague_sat,20150214,1
montague_sat,20150221,1
montague_sat,20150228,1
montague_sat,20150307,1
montague_sat,20150314,1
montague_sat,20150321,1
montague_sat,20150328,1
montague_sat,20150404,1
montague_sat,20150411,1
montague_sat,20150418,1
montague_sat,20150425,1
montague_sat,20150502,1
montague_sat,20150509,1
montague_sat,20150516,1
montague_sat,20150523,1
montague_sat,20150530,1
montague_sat,20150606,1
montague_sat,20150613,1
montague_sat,20150620,1
montague_sat,20150627,1
montague_sat,20150704,1
montague_sat,20150711,1
montague_sat,20150718,1
montague_sat,20150725,1
montague_sat,20150801,1
montague_sat,20150808,1
montague_sat,20150815,1
montague_sat,20150822,1
montague_sat,20150829,1
montague_sat,20150905,1
montague_sat,20150912,1
montague_sat,20150919,1
montague_sat,20150926,1
montague_sat,20151003,1
montague_sat,20151010,1
montague_sat,20151017,1
montague_sat,20151024,1
montague_sat,20151031,1
montague_sat,20151107,1
montague_sat,20151114,1
montague_sat,20151121,1
montague_sat,20151128,1
montague_sat,20151205,1
montague_sat,20151212,1
montague_sat,20151219,1
montague_sat,20151226,1
montague_sun,20140914,1
montague_sun,20140921,1
montague_sun,20140928,1
montague_sun,20141005,1
montague_sun,20141012,1
montague_sun,20141019,1
montague_sun,20141026,1
montague_sun,20141102,1
montague_sun,20141109,1
montague_sun,20141116,1
montague_sun,20141123,1
montague_sun,20141130,1
montague_sun,20141207,1
montague_sun,20141214,1
montague_sun,20141221,1
montague_sun,20141228,1
montague_sun,20150104,1
montague_sun,20150111,1
montague_sun,20150118,1
montague_sun,20150125,1
montague_sun,20150201,1
montague_sun,20150208,1
montague_sun,20150215,1
montague_sun,20150222,1
montague_sun,20150301,1
montague_sun,20150308,1
montague_sun,20150315,1
montague_sun,20150322,1
montague_sun,20150329,1
montague_sun,20150405,1
montague_sun,20150412,1
montague_sun,20150419,1
montague_sun,20150426,1
montague_sun,20150503,1
montague_sun,20150510,1
montague_sun,20150517,1
montague_sun,20150524,1
montague_sun,20150531,1
montague_sun,20150607,1
montague_sun,20150614,1
montague_sun,20150621,1
montague_sun,20150628,1
montague_sun,20150705,1
montague_sun,20150712,1
montague_sun,20150719,1
montague_sun,20150726,1
montague_sun,20150802,1
montague_sun,20150809,1
montague_sun,20150816,1
montague_sun,20150823,1
montague_sun,20150830,1
montague_sun,20150906,1
montague_sun,20150913,1
montague_sun,20150920,1
montague_sun,20150927,1
montague_sun,20151004,1
montague_sun,20151011,1
montague_sun,20151018,1
montague_sun,20151025,1
montague_sun,20151101,1
montague_sun,20151108,1
montague_sun,20151115,1
montague_sun,20151122,1
montague_sun,20151129,1
montague_sun,20151206,1
montague_sun,20151213,1
montague_sun,20151220,1
montague_sun,20151227,1
montague_wkd,20140915,1
montague_wkd,20140916,1
montague_wkd,20140917,1
montague_wkd,20140918,1
montague_wkd,20140919,1
montague_wkd,20140922,1
montague_wkd,20140923,1
montague_wkd,20140924,1
montague_wkd,20140925,1
montague_wkd,20140926,1
montague_wkd,20140929,1
montague_wkd,20140930,1
montague_wkd,20141001,1
montague_wkd,20141002,1
montague_wkd,20141003,1
montague_wkd,20141006,1
montague_wkd,20141007,1
montague_wkd,20141008,1
montague_wkd,20141009,1
montague_wkd,20141010,1
montague_wkd,20141013,1
montague_wkd,20141014,1
montague_wkd,20141015,1
montague_wkd,20141016,1
montague_wkd,20141017,1
montague_wkd,20141020,1
montague_wkd,20141021,1
montague_wkd,20141022,1
montague_wkd,20141023,1
montague_wkd,20141024,1
montague_wkd,20141027,1
montague_wkd,20141028,1
montague_wkd,20141029,1
montague_wkd,20141030,1
montague_wkd,20141031,1
